SKU,Published,Sale price,Regular price
SKU_333UQRT_76B303T,1,,15490
SKU_30H0R36_6QP8VNO,1,,16900
SKU_23LJQZV_2KDBC3C,1,19400,29000
SKU_2O2D2JH_4L58FD7,1,12640,45000
SKU_39L2SS6_85WKFKK,1,25600,32000
SKU_2MIFD7L_4DRM25R,1,10210,14400
SKU_VLINI2_1HNC1ZX,1,21000,21000
SKU_39OPFFT_86FXRP3,1,28800,68000
SKU_235DB97_2J17JIX,1,5430,5760
SKU_3BNN9TY_8FSMMJD,1,17830,22530
SKU_34NHZ6Q_7EJ8DUO,1,12800,18000
SKU_353HWKI_7GTLKYY,1,23620,30000
SKU_2IU6ZMW_2XCNU2R,1,15310,30000
SKU_358TPTU_7JFY6EC,1,33000,66000
SKU_2AYHBIU_3365KY7,1,16270,30000
SKU_39L2VNE_85WKTH4,1,20390,32000
SKU_2DX4DIF_3BH8HT7,1,15000,21000
SKU_2UPSQNM_5OQJ6UR,1,12810,19000
SKU_QC2D2D_18ZWM7X,1,50000,50000
SKU_2F0O4UX_3FOLPR2,1,20700,26000
SKU_35M1QD9_7JPTD6W,1,20000,24000
SKU_3ACE5U1_89OJ02L,1,,30600
SKU_K71Y_2B3ZX,1,23500,24500
SKU_2XCY65Z_67536IA,1,14470,15730
SKU_111JN5W_1R9R7VD,1,38600,55520
SKU_2W422MM_5YT40XE,1,19200,29000
SKU_32HGYU8_72R99F4,1,15290,18050
SKU_2S2X01H_53GBVHQ,1,,21330
SKU_314GXNI_6UONNWA,1,19800,46000
SKU_1Q0PBW_586AWG,1,14700,15000
SKU_38OLXWH_812DY57,1,25480,35000
SKU_3AHK1PZ_8AAQ41S,1,14840,25000
SKU_2ZNKJBF_6LODBYS,1,,26660
SKU_33ALRXJ_778WNO6,1,27280,42000
SKU_319SASL_6VIPQOR,1,12030,13470
SKU_3AT0EPW_8BPSMIU,1,17660,28000
SKU_QK4H5G_1AQHBE1,1,13790,30000
SKU_30ZX0UR_6TXR4IS,1,12900,20000
SKU_2ZBHM3W_6JHCMS6,1,13990,21000
SKU_34S9WV8_7F9BTRM,1,14800,22000
SKU_1M137_7FD04,1,,14810
SKU_27SOW92_2UUWWR7,1,11580,25000
SKU_34VG6FX_7FPRU2B,1,19000,19000
SKU_27QURN3_1C7Z92H,1,14900,25900
SKU_32MVSRQ_73LPKZF,1,23800,28000
SKU_2Y4Q1WU_6C1ZF1I,1,18900,29000
SKU_28PJ1SU_2X2HMEO,1,17440,31000
SKU_2S0YTQY_537Q5Y2,1,15900,18500
SKU_ZE6W3P_1O3YYKM,1,31320,34800
SKU_3DWHW4_9YKYES,1,22200,23000
SKU_2OUOXCT_4ORQJW2,1,,14400
SKU_1IDND_1GXKGA,1,40900,68000
SKU_1A2NU_2B3ZV,1,23500,24500
SKU_30ZZB3E_6TY29MZ,1,12900,19800
SKU_2EIIES2_3DTLMK0,1,,19210
SKU_4PIAAV_43M61QD,1,12990,21200
SKU_3UQ1GE_C8MNDZ,1,18400,24000
SKU_33GZHP1_78739Y3,1,16050,18200
SKU_2L0XTMI_61RFD67,1,11900,30000
SKU_2E95HL_6Y5I4Q,1,17500,22000
SKU_30NMJID_6RUN5DB,1,19800,40000
SKU_39QNVCJ_86QDER4,1,,17900
SKU_2VCD6UB_5TA9N0Q,1,22000,84000
SKU_3B8UGPO_8DQP9FU,1,,79400
SKU_34VFYXF_7FPQQU4,1,12750,27000
SKU_39TJW10_874ETQ1,1,19500,26000
SKU_2U4653F_5JQ5E2Z,1,14600,30000
SKU_31V8VA6_6ZANXBB,1,9660,18900
SKU_2CL71QK_37IRYU4,1,11800,29000
SKU_2DUU4I7_3B83BEV,1,21710,32000
SKU_2O5ERJA_4LKWMUA,1,,32000
SKU_2UR2VXC_5OZBGD1,1,,14900
SKU_2UYU5RI_5QI0H14,1,26820,29800
SKU_27SQW68_2UV0YJY,1,18000,22300
SKU_2UPZR7K_5ORPX2R,1,18200,42000
SKU_32MSCPL_73LAFUS,1,23960,38000
SKU_36HM38T_7OKK4O9,1,9900,13900
SKU_38OMIGO_812GAQB,1,36900,50000
SKU_35U1EQY_7KW5WXP,1,21020,39000
SKU_4NJZSV_1AM8YFL,1,15900,43800
SKU_2UOPNUC_5OINYR2,1,,15610
SKU_W78P5K_1IO503I,1,12960,16000
SKU_33W503O_7AGIRUQ,1,13160,45000
SKU_ZVUT9J_1P1GIRE,1,21030,32000
SKU_2S09U8P_53481S0,1,,22350
SKU_2ONN14V_4NWEZXE,1,,21100
SKU_38PFBDW_815XTWQ,1,13600,13910
SKU_38II1VX_80BHUSE,1,14670,15880
SKU_2FOCGHQ_3ILPDLV,1,20900,30990
SKU_NEC9RX_14JK11F,1,17160,30000
SKU_K5BQF7_10IUK97,1,17900,41000
SKU_3424N8J_7BB1B7U,1,,15000
SKU_31V0IHY_6Z9MUC6,1,12250,17500
SKU_39J3S6E_85MA8O5,1,11490,13500
SKU_2YXP5M8_6H2ZOA9,1,,10900
SKU_2GW8BQT_3NR3HOO,1,9370,15000
SKU_2O1AMHK_4L0LI6V,1,9210,11500
SKU_XZNMV0_1LS946P,1,17450,22000
SKU_3A3VBMW_88JH94H,1,,32320
SKU_34M2LWN_7EBTVS6,1,14900,28000
SKU_5I6BU8_HL0NZ5,1,10400,16000
SKU_33NE4J8_4SX63YY,1,,11900
SKU_11PW9TP_1SS0JPR,1,,13490
SKU_3103JWJ_6TYNAMM,1,9900,15930
SKU_31IL51O_6X2NQ2Y,1,24870,38000
